variable,units,mean,CV,type,min.age,max.age,gender,pucid
f.residual,[-],1,0,point,0,99,B,PC.1500.010
f.aerosol,[-],0.75,0.192450089729875,Uniform,0,99,B,PC.1500.010
volume,m^3,24,0,Point,0,99,B,PC.1500.010
f.drain,[-],1,0,Uniform,0,99,B,PC.1500.010
mass,g,1,1,Lognormal,0,99,B,PC.1500.010
use.freq,1/year,280,1,lognormal,0,99,B,PC.1500.010
duration,minutes,10,1,Lognormal,0,99,B,PC.1500.010
use.prev,[-],0.01,1,point,0,12,B,PC.1500.010
use.prev,[-],0.15,1,point,13,99,M,PC.1500.010
use.prev,[-],0.15,1,point,13,99,W,PC.1500.010
f.contact,[-],1,0,Point,0,99,B,PC.1500.010
house.prev,[-],0.15,1,point,0,99,B,PC.1500.010
f.residual,[-],1,0,point,0,99,B,PC.2300.070
volume,m^3,24,0,Point,0,99,B,PC.2300.070
f.drain,[-],1,0,Uniform,0,99,B,PC.2300.070
mass,g,1,1,Lognormal,0,99,B,PC.2300.070
use.freq,1/year,270,1,lognormal,0,99,B,PC.2300.070
duration,minutes,5,1,Lognormal,0,99,B,PC.2300.070
use.prev,[-],0,1,point,0,12,B,PC.2300.070
use.prev,[-],0.01,1,point,13,99,M,PC.2300.070
use.prev,[-],0.63,1,point,13,99,W,PC.2300.070
f.contact,[-],1,0,Point,0,99,B,PC.2300.070
house.prev,[-],0.63,1,point,0,99,B,PC.2300.070
f.residual,[-],0.5,0,point,0,99,B,PC.1600.010
f.aerosol,[-],0.75,0.192450089729875,Uniform,0,99,B,PC.1600.010
volume,m^3,24,0,Point,0,99,B,PC.1600.010
f.drain,[-],1,0,Uniform,0,99,B,PC.1600.010
mass,g,0.5,1,Lognormal,0,99,B,PC.1600.010
use.freq,1/year,183,1,lognormal,0,99,B,PC.1600.010
duration,minutes,2,1,Lognormal,0,99,B,PC.1600.010
use.prev,[-],0.01,1,point,0,12,B,PC.1600.010
use.prev,[-],0.05,1,point,13,99,M,PC.1600.010
use.prev,[-],0.73,1,point,13,99,W,PC.1600.010
f.contact,[-],1,0,Point,0,99,B,PC.1600.010
house.prev,[-],0.73,1,point,0,99,B,PC.1600.010
f.residual,[-],0.01,0,point,0,99,B,PC.1800.010
volume,m^3,24,0,Point,0,99,B,PC.1800.010
f.drain,[-],1,0,Uniform,0,99,B,PC.1800.010
mass,g,0.5,1,Lognormal,0,99,B,PC.1800.010
use.freq,1/year,4,1,lognormal,0,99,B,PC.1800.010
duration,minutes,2,1,Lognormal,0,99,B,PC.1800.010
use.prev,[-],0,1,point,0,12,B,PC.1800.010
use.prev,[-],0.01,1,point,13,99,M,PC.1800.010
use.prev,[-],0.01,1,point,13,99,W,PC.1800.010
f.contact,[-],1,0,Point,0,99,B,PC.1800.010
house.prev,[-],0.01,1,point,0,99,B,PC.1800.010
f.residual,[-],0.01,0,point,0,99,B,PC.1900.010
volume,m^3,24,0,Point,0,99,B,PC.1900.010
f.drain,[-],1,0,Uniform,0,99,B,PC.1900.010
mass,g,200,1,Lognormal,0,99,B,PC.1900.010
use.freq,1/year,10,1,lognormal,0,99,B,PC.1900.010
duration,minutes,45,1,Lognormal,0,99,B,PC.1900.010
use.prev,[-],0,1,point,0,12,B,PC.1900.010
use.prev,[-],0.02,1,point,13,99,M,PC.1900.010
use.prev,[-],0.2,1,point,13,99,W,PC.1900.010
f.contact,[-],0.5,0,Point,0,99,B,PC.1900.010
house.prev,[-],0.2,1,point,0,99,B,PC.1900.010
f.residual,[-],0.01,0,point,0,99,B,PC.1900.030
volume,m^3,24,0,Point,0,99,B,PC.1900.030
f.drain,[-],1,0,Uniform,0,99,B,PC.1900.030
mass,g,200,1,Lognormal,0,99,B,PC.1900.030
use.freq,1/year,3,1,lognormal,0,99,M,PC.1900.030
use.freq,1/year,7,1,lognormal,0,99,W,PC.1900.030
duration,minutes,45,1,Lognormal,0,99,B,PC.1900.030
use.prev,[-],0,1,point,0,12,B,PC.1900.030
use.prev,[-],0.04,1,point,13,99,M,PC.1900.030
use.prev,[-],0.6,1,point,13,99,W,PC.1900.030
f.contact,[-],0.5,0,Point,0,99,B,PC.1900.030
house.prev,[-],0.6,1,point,0,99,B,PC.1900.030
f.residual,[-],0.01,0,point,0,99,B,PC.1900.040
volume,m^3,24,0,Point,0,99,B,PC.1900.040
f.drain,[-],1,0,Uniform,0,99,B,PC.1900.040
mass,g,200,1,Lognormal,0,99,B,PC.1900.040
use.freq,1/year,3,1,lognormal,0,99,M,PC.1900.040
use.freq,1/year,7,1,lognormal,0,99,W,PC.1900.040
duration,minutes,45,1,Lognormal,0,99,B,PC.1900.040
use.prev,[-],0,1,point,0,12,B,PC.1900.040
use.prev,[-],0.04,1,point,13,99,M,PC.1900.040
use.prev,[-],0.6,1,point,13,99,W,PC.1900.040
f.contact,[-],0.5,0,Point,0,99,B,PC.1900.040
house.prev,[-],0.6,1,point,0,99,B,PC.1900.040
f.residual,[-],0.01,0,point,0,99,B,PC.1900.050
volume,m^3,24,0,Point,0,99,B,PC.1900.050
f.drain,[-],1,0,Uniform,0,99,B,PC.1900.050
mass,g,50,1,Lognormal,0,99,B,PC.1900.050
use.freq,1/year,2,1,lognormal,0,99,B,PC.1900.050
duration,minutes,10,1,Lognormal,0,99,B,PC.1900.050
use.prev,[-],0.1,1,point,0,12,B,PC.1900.050
use.prev,[-],0.01,1,point,13,99,M,PC.1900.050
use.prev,[-],0.1,1,point,13,99,W,PC.1900.050
f.contact,[-],0.5,0,Point,0,99,B,PC.1900.050
house.prev,[-],0.1,1,point,0,99,B,PC.1900.050
f.aerosol,[-],0.75,0.192450089729875,Uniform,0,99,B,PC.1900.050
f.residual,[-],0.01,0,point,0,99,B,PC.1900.020
volume,m^3,24,0,Point,0,99,B,PC.1900.020
f.drain,[-],1,0,Uniform,0,99,B,PC.1900.020
mass,g,200,1,Lognormal,0,99,B,PC.1900.020
use.freq,1/year,3,1,lognormal,0,99,M,PC.1900.020
use.freq,1/year,7,1,lognormal,0,99,W,PC.1900.020
duration,minutes,45,1,Lognormal,0,99,B,PC.1900.020
use.prev,[-],0,1,point,0,12,B,PC.1900.020
use.prev,[-],0.04,1,point,13,99,M,PC.1900.020
use.prev,[-],0.6,1,point,13,99,W,PC.1900.020
f.contact,[-],0.5,0,Point,0,99,B,PC.1900.020
house.prev,[-],0.6,1,point,0,99,B,PC.1900.020
f.residual,[-],0.01,0,point,0,99,B,PC.1900.060
volume,m^3,24,0,Point,0,99,B,PC.1900.060
f.drain,[-],1,0,Uniform,0,99,B,PC.1900.060
mass,g,20,1,Lognormal,0,99,B,PC.1900.060
use.freq,1/year,10,1,lognormal,0,99,B,PC.1900.060
duration,minutes,45,1,Lognormal,0,99,B,PC.1900.060
use.prev,[-],0,1,point,0,12,B,PC.1900.060
use.prev,[-],0,1,point,13,99,M,PC.1900.060
use.prev,[-],0.01,1,point,13,99,W,PC.1900.060
f.contact,[-],0.5,0,Point,0,99,B,PC.1900.060
house.prev,[-],0.01,1,point,0,99,B,PC.1900.060
f.residual,[-],0.01,0,point,0,99,B,PC.1900.070
volume,m^3,24,0,Point,0,99,B,PC.1900.070
f.drain,[-],1,0,Uniform,0,99,B,PC.1900.070
mass,g,20,1,Lognormal,0,99,B,PC.1900.070
use.freq,1/year,10,1,lognormal,0,99,B,PC.1900.070
duration,minutes,45,1,Lognormal,0,99,B,PC.1900.070
use.prev,[-],0,1,point,0,12,B,PC.1900.070
use.prev,[-],0,1,point,13,99,M,PC.1900.070
use.prev,[-],0.01,1,point,13,99,W,PC.1900.070
f.contact,[-],0.5,0,Point,0,99,B,PC.1900.070
house.prev,[-],0.01,1,point,0,99,B,PC.1900.070
f.residual,[-],0.01,0,point,0,99,B,PC.1900.080
volume,m^3,24,0,Point,0,99,B,PC.1900.080
f.drain,[-],1,0,Uniform,0,99,B,PC.1900.080
mass,g,20,1,Lognormal,0,99,B,PC.1900.080
use.freq,1/year,10,1,lognormal,0,99,B,PC.1900.080
duration,minutes,45,1,Lognormal,0,99,B,PC.1900.080
use.prev,[-],0,1,point,0,12,B,PC.1900.080
use.prev,[-],0,1,point,13,99,M,PC.1900.080
use.prev,[-],0.01,1,point,13,99,W,PC.1900.080
f.contact,[-],0.5,0,Point,0,99,B,PC.1900.080
house.prev,[-],0.01,1,point,0,99,B,PC.1900.080
f.residual,[-],0.02,0,point,0,99,B,PC.2000.100
volume,m^3,24,0,Point,0,99,B,PC.2000.100
f.drain,[-],1,0,Uniform,0,99,B,PC.2000.100
mass,g,30,1,Lognormal,0,99,B,PC.2000.100
use.freq,1/year,52,1,lognormal,0,99,B,PC.2000.100
duration,minutes,10,1,Lognormal,0,99,B,PC.2000.100
use.prev,[-],0.05,1,point,0,12,B,PC.2000.100
use.prev,[-],0.02,1,point,13,99,M,PC.2000.100
use.prev,[-],0.5,1,point,13,99,W,PC.2000.100
f.contact,[-],0.5,0,Point,0,99,B,PC.2000.100
house.prev,[-],0.5,1,point,0,99,B,PC.2000.100
f.aerosol,[-],0.15,0.192450089729875,Uniform,0,99,B,PC.2000.100
f.residual,[-],0.02,0,point,0,99,B,PC.2000.090
f.aerosol,[-],0.15,0.192450089729875,Uniform,0,99,B,PC.2000.090
volume,m^3,24,0,Point,0,99,B,PC.2000.090
f.drain,[-],1,0,Uniform,0,99,B,PC.2000.090
mass,g,15,1,Lognormal,0,99,B,PC.2000.090
use.freq,1/year,180,1,lognormal,0,99,B,PC.2000.090
duration,minutes,4,1,Lognormal,0,99,B,PC.2000.090
use.prev,[-],0.6,1,point,0,12,B,PC.2000.090
use.prev,[-],0.56,1,point,13,99,M,PC.2000.090
use.prev,[-],0.92,1,point,13,99,W,PC.2000.090
f.contact,[-],0.5,0,Point,0,99,B,PC.2000.090
house.prev,[-],0.92,1,point,0,99,B,PC.2000.090
use.freq,1/year,255.5,1,lognormal,0,99,B,PC.2000.090
f.residual,[-],1,0,point,0,99,B,PC.2000.120
volume,m^3,24,0,Point,0,99,B,PC.2000.120
f.drain,[-],1,0,Uniform,0,99,B,PC.2000.120
mass,g,15,1,Lognormal,0,99,B,PC.2000.120
use.freq,1/year,2,1,lognormal,0,99,B,PC.2000.120
duration,minutes,10,1,Lognormal,0,99,B,PC.2000.120
use.prev,[-],0,1,point,0,12,B,PC.2000.120
use.prev,[-],0,1,point,13,99,M,PC.2000.120
use.prev,[-],0.1,1,point,13,99,W,PC.2000.120
f.contact,[-],0.5,0,Point,0,99,B,PC.2000.120
house.prev,[-],0.1,1,point,0,99,B,PC.2000.120
f.residual,[-],1,0,point,0,99,B,PC.2000.110
f.aerosol,[-],0.15,0.192450089729875,Uniform,0,99,B,PC.2000.110
volume,m^3,24,0,Point,0,99,B,PC.2000.110
f.drain,[-],1,0,Uniform,0,99,B,PC.2000.110
mass,g,15,1,Lognormal,0,99,B,PC.2000.110
use.freq,1/year,12,1,lognormal,0,99,B,PC.2000.110
duration,minutes,5,1,Lognormal,0,99,B,PC.2000.110
use.prev,[-],0,1,point,0,12,B,PC.2000.110
use.prev,[-],0,1,point,13,99,M,PC.2000.110
use.prev,[-],0.2,1,point,13,99,W,PC.2000.110
f.contact,[-],0.5,0,Point,0,99,B,PC.2000.110
house.prev,[-],0.2,1,point,0,99,B,PC.2000.110
f.residual,[-],0.01,0,point,0,99,B,PC.2000.130
volume,m^3,24,0,Point,0,99,B,PC.2000.130
f.drain,[-],1,0,Uniform,0,99,B,PC.2000.130
mass,g,100,1,Lognormal,0,99,B,PC.2000.130
use.freq,1/year,5,1,lognormal,0,12,B,PC.2000.130
use.freq,1/year,6,1,lognormal,13,99,B,PC.2000.130
duration,minutes,30,1,Lognormal,0,99,B,PC.2000.130
use.prev,[-],0,1,point,0,5,M,PC.2000.130
use.prev,[-],0.01,1,point,0,5,W,PC.2000.130
use.prev,[-],0,1,point,6,12,M,PC.2000.130
use.prev,[-],0.1,1,point,6,12,W,PC.2000.130
use.prev,[-],0.02,1,point,13,99,M,PC.2000.130
use.prev,[-],0.12,1,point,13,99,W,PC.2000.130
f.contact,[-],0.5,0,Point,0,99,B,PC.2000.130
house.prev,[-],0.12,1,point,0,99,B,PC.2000.130
f.residual,[-],1,0,point,0,99,B,PC.2000.140
f.aerosol,[-],0.55,0.47237749297333,Uniform,0,99,B,PC.2000.140
volume,m^3,24,0,Point,0,99,B,PC.2000.140
f.drain,[-],1,0,Uniform,0,99,B,PC.2000.140
mass,g,5,1,Lognormal,0,99,B,PC.2000.140
use.freq,1/year,180,1,lognormal,0,99,B,PC.2000.140
duration,minutes,5,1,Lognormal,0,99,B,PC.2000.140
use.prev,[-],0,1,point,0,5,M,PC.2000.140
use.prev,[-],0,1,point,0,5,W,PC.2000.140
use.prev,[-],0.33,1,point,6,12,M,PC.2000.140
use.prev,[-],0.56,1,point,6,12,W,PC.2000.140
use.prev,[-],0.2,1,point,13,99,M,PC.2000.140
use.prev,[-],0.65,1,point,13,99,W,PC.2000.140
f.contact,[-],0.5,0,Point,0,99,B,PC.2000.140
house.prev,[-],0.65,1,point,0,99,B,PC.2000.140
f.residual,[-],1,0,point,0,99,B,PC.2000.150
volume,m^3,24,0,Point,0,99,B,PC.2000.150
f.drain,[-],1,0,Uniform,0,99,B,PC.2000.150
mass,g,5,1,Lognormal,0,99,B,PC.2000.150
use.freq,1/year,52,1,lognormal,0,99,B,PC.2000.150
duration,minutes,5,1,Lognormal,0,99,B,PC.2000.150
use.prev,[-],0,1,point,0,12,B,PC.2000.150
use.prev,[-],0.01,1,point,13,99,M,PC.2000.150
use.prev,[-],0.01,1,point,13,99,W,PC.2000.150
f.contact,[-],0.5,0,Point,0,99,B,PC.2000.150
house.prev,[-],0.01,1,point,0,99,B,PC.2000.150
f.aerosol,[-],0.55,0.47237749297333,Uniform,0,99,B,PC.2000.150
use.freq,1/year,180,1,lognormal,0,99,B,PC.2000.150
use.prev,[-],0.01,1,point,0,12,B,PC.2000.150
use.prev,[-],0.2,1,point,13,99,M,PC.2000.150
use.prev,[-],0.2,1,point,13,99,W,PC.2000.150
house.prev,[-],0.2,1,point,0,99,B,PC.2000.150
f.residual,[-],0.01,0,point,0,99,B,PC.0500.050
f.aerosol,[-],0.15,0.192450089729875,Uniform,0,99,B,PC.0500.050
volume,m^3,24,0,Point,0,99,B,PC.0500.050
f.drain,[-],1,0,Uniform,0,99,B,PC.0500.050
mass,g,5,1,Lognormal,0,99,B,PC.0500.050
use.freq,1/year,480,1,lognormal,0,12,M,PC.0500.050
use.freq,1/year,780,1,lognormal,0,12,W,PC.0500.050
use.freq,1/year,360,1,lognormal,13,99,M,PC.0500.050
use.freq,1/year,300,1,lognormal,13,99,W,PC.0500.050
duration,minutes,2,1,Lognormal,0,99,B,PC.0500.050
use.prev,[-],0.84,1,point,0,12,M,PC.0500.050
use.prev,[-],0.68,1,point,0,12,W,PC.0500.050
use.prev,[-],0.19,1,point,13,99,M,PC.0500.050
use.prev,[-],0.76,1,point,13,99,W,PC.0500.050
f.contact,[-],1,0,Point,0,99,B,PC.0500.050
house.prev,[-],0.84,1,point,0,99,B,PC.0500.050
f.residual,[-],0.01,0,point,0,99,B,PC.0500.060
volume,m^3,24,0,Point,0,99,B,PC.0500.060
f.drain,[-],1,0,Uniform,0,99,B,PC.0500.060
mass,g,1,1,Lognormal,0,99,B,PC.0500.060
use.freq,1/year,1800,1,lognormal,0,99,B,PC.0500.060
duration,minutes,2,1,Lognormal,0,99,B,PC.0500.060
use.prev,[-],0.95,1,point,0,12,B,PC.0500.060
use.prev,[-],0.95,1,point,13,99,M,PC.0500.060
use.prev,[-],0.95,1,point,13,99,W,PC.0500.060
f.contact,[-],1,0,Point,0,99,B,PC.0500.060
house.prev,[-],0.95,1,point,0,99,B,PC.0500.060
f.residual,[-],0.5,0,point,0,99,B,PC.0500.070
volume,m^3,24,0,Point,0,99,B,PC.0500.070
f.drain,[-],1,0,Uniform,0,99,B,PC.0500.070
mass,g,1,1,Lognormal,0,99,B,PC.0500.070
use.freq,1/year,24,1,lognormal,0,99,B,PC.0500.070
duration,minutes,10,1,Lognormal,0,99,B,PC.0500.070
use.prev,[-],0.2,1,point,0,12,B,PC.0500.070
use.prev,[-],0.2,1,point,13,99,M,PC.0500.070
use.prev,[-],0.2,1,point,13,99,W,PC.0500.070
f.contact,[-],1,0,Point,0,99,B,PC.0500.070
house.prev,[-],0.2,1,point,0,99,B,PC.0500.070
f.residual,[-],1,0,point,0,99,B,PC.1700.010
volume,m^3,24,0,Point,0,99,B,PC.1700.010
f.drain,[-],1,0,Uniform,0,99,B,PC.1700.010
mass,g,8,1,Lognormal,0,99,B,PC.1700.010
use.freq,1/year,292,1,lognormal,0,12,B,PC.1700.010
use.freq,1/year,292,1,lognormal,13,99,M,PC.1700.010
use.freq,1/year,547,1,lognormal,13,99,W,PC.1700.010
duration,minutes,5,1,Lognormal,0,99,B,PC.1700.010
use.prev,[-],0.025,1,point,0,12,M,PC.1700.010
use.prev,[-],0.035,1,point,0,12,W,PC.1700.010
use.prev,[-],0.035,1,point,13,99,M,PC.1700.010
use.prev,[-],0.048,1,point,13,99,W,PC.1700.010
f.contact,[-],1,0,Point,0,99,B,PC.1700.010
house.prev,[-],0.048,1,point,0,99,B,PC.1700.010
f.aerosol,[-],0.15,0.192450089729875,Uniform,0,99,B,PC.1700.010
use.prev,[-],0.5,1,point,0,12,M,PC.1700.010
use.prev,[-],0.7,1,point,0,12,W,PC.1700.010
use.prev,[-],0.7,1,point,13,99,M,PC.1700.010
use.prev,[-],0.95,1,point,13,99,W,PC.1700.010
house.prev,[-],0.95,1,point,0,99,B,PC.1700.010
f.residual,[-],0.02,0,point,0,99,B,PC.2000.180
volume,m^3,24,0,Point,0,99,B,PC.2000.180
f.drain,[-],1,0,Uniform,0,99,B,PC.2000.180
mass,g,5,1,Lognormal,0,99,B,PC.2000.180
use.freq,1/year,10,1,lognormal,0,99,B,PC.2000.180
duration,minutes,30,1,Lognormal,0,99,B,PC.2000.180
use.prev,[-],0.03,1,point,0,12,B,PC.2000.180
use.prev,[-],0.01,1,point,13,99,M,PC.2000.180
use.prev,[-],0.01,1,point,13,99,W,PC.2000.180
f.contact,[-],0.5,0,Point,0,99,B,PC.2000.180
house.prev,[-],0.03,1,point,0,99,B,PC.2000.180
f.residual,[-],1,0,point,0,99,B,PC.2200.010
volume,m^3,24,0,Point,0,99,B,PC.2200.010
f.drain,[-],1,0,Uniform,0,99,B,PC.2200.010
mass,g,3,1,Lognormal,0,99,B,PC.2200.010
use.freq,1/year,17,1,lognormal,0,99,B,PC.2200.010
duration,minutes,10,1,Lognormal,0,99,B,PC.2200.010
use.prev,[-],0.05,1,point,0,12,B,PC.2200.010
use.prev,[-],0.2,1,point,13,99,M,PC.2200.010
use.prev,[-],0.05,1,point,13,99,W,PC.2200.010
f.contact,[-],1,0,Point,0,99,B,PC.2200.010
house.prev,[-],0.2,1,point,0,99,B,PC.2200.010
f.residual,[-],0.5,0,point,0,99,B,PC.2300.080
volume,m^3,24,0,Point,0,99,B,PC.2300.080
f.drain,[-],1,0,Uniform,0,99,B,PC.2300.080
f.ingested,[-],1,0.3,Lognormal,0,99,B,PC.2300.080
mass,g,0.2,1,Lognormal,0,99,B,PC.2300.080
use.freq,1/year,120,1,lognormal,0,12,M,PC.2300.080
use.freq,1/year,290,1,lognormal,0,12,W,PC.2300.080
use.freq,1/year,168,1,lognormal,13,99,M,PC.2300.080
use.freq,1/year,528,1,lognormal,13,99,W,PC.2300.080
duration,minutes,2,1,Lognormal,0,99,B,PC.2300.080
use.prev,[-],0.53,1,point,0,12,M,PC.2300.080
use.prev,[-],0.78,1,point,0,12,W,PC.2300.080
use.prev,[-],0.52,1,point,13,99,M,PC.2300.080
use.prev,[-],0.95,1,point,13,99,W,PC.2300.080
f.contact,[-],1,0,Point,0,99,B,PC.2300.080
house.prev,[-],0.95,1,point,0,99,B,PC.2300.080
f.residual,[-],0.5,0,point,0,99,B,PC.2300.090
volume,m^3,24,0,Point,0,99,B,PC.2300.090
f.drain,[-],1,0,Uniform,0,99,B,PC.2300.090
f.ingested,[-],1,0.3,Lognormal,0,99,B,PC.2300.090
mass,g,0.2,1,Lognormal,0,99,B,PC.2300.090
use.freq,1/year,0,1,lognormal,0,12,M,PC.2300.090
use.freq,1/year,290,1,lognormal,0,12,W,PC.2300.090
use.freq,1/year,0,1,lognormal,13,99,M,PC.2300.090
use.freq,1/year,528,1,lognormal,13,99,W,PC.2300.090
duration,minutes,2,1,Lognormal,0,99,B,PC.2300.090
use.prev,[-],0,1,point,0,12,M,PC.2300.090
use.prev,[-],0.01,1,point,0,12,W,PC.2300.090
use.prev,[-],0,1,point,13,99,M,PC.2300.090
use.prev,[-],0.95,1,point,13,99,W,PC.2300.090
f.contact,[-],1,0,Point,0,99,B,PC.2300.090
house.prev,[-],0.95,1,point,0,99,B,PC.2300.090
f.residual,[-],0.5,0,point,0,99,B,PC.2300.100
volume,m^3,24,0,Point,0,99,B,PC.2300.100
f.drain,[-],1,0,Uniform,0,99,B,PC.2300.100
f.ingested,[-],1,0.3,Lognormal,0,99,B,PC.2300.100
mass,g,0.2,1,Lognormal,0,99,B,PC.2300.100
use.freq,1/year,678,1,lognormal,0,99,B,PC.2300.100
duration,minutes,2,1,Lognormal,0,99,B,PC.2300.100
use.prev,[-],0,1,point,0,12,M,PC.2300.100
use.prev,[-],0.1,1,point,0,12,W,PC.2300.100
use.prev,[-],0,1,point,13,99,M,PC.2300.100
use.prev,[-],0.5,1,point,13,99,W,PC.2300.100
f.contact,[-],1,0,Point,0,99,B,PC.2300.100
house.prev,[-],0.5,1,point,0,99,B,PC.2300.100
f.residual,[-],0.5,0,point,0,99,B,PC.2300.110
volume,m^3,24,0,Point,0,99,B,PC.2300.110
f.drain,[-],1,0,Uniform,0,99,B,PC.2300.110
f.ingested,[-],1,0.3,Lognormal,0,99,B,PC.2300.110
mass,g,0.2,1,Lognormal,0,99,B,PC.2300.110
use.freq,1/year,528,1,lognormal,0,99,B,PC.2300.110
duration,minutes,2,1,Lognormal,0,99,B,PC.2300.110
use.prev,[-],0,1,point,0,12,B,PC.2300.110
use.prev,[-],0,1,point,13,99,M,PC.2300.110
use.prev,[-],0.3,1,point,13,99,W,PC.2300.110
f.contact,[-],1,0,Point,0,99,B,PC.2300.110
house.prev,[-],0.3,1,point,0,99,B,PC.2300.110
f.residual,[-],1,0,point,0,99,B,PC.2300.120
volume,m^3,24,0,Point,0,99,B,PC.2300.120
f.drain,[-],1,0,Uniform,0,99,B,PC.2300.120
mass,g,2,1,Lognormal,0,99,B,PC.2300.120
use.freq,1/year,63,1,lognormal,0,99,B,PC.2300.120
duration,minutes,5,1,Lognormal,0,99,B,PC.2300.120
use.prev,[-],0,1,point,0,12,B,PC.2300.120
use.prev,[-],0,1,point,13,99,M,PC.2300.120
use.prev,[-],0.1,1,point,13,99,W,PC.2300.120
f.contact,[-],1,0,Point,0,99,B,PC.2300.120
house.prev,[-],0.1,1,point,0,99,B,PC.2300.120
f.residual,[-],1,0,point,0,99,B,PC.2300.130
volume,m^3,24,0,Point,0,99,B,PC.2300.130
f.drain,[-],1,0,Uniform,0,99,B,PC.2300.130
mass,g,1,1,Lognormal,0,99,B,PC.2300.130
use.freq,1/year,135,1,lognormal,0,99,B,PC.2300.130
duration,minutes,5,1,Lognormal,0,99,B,PC.2300.130
use.prev,[-],0,1,point,0,12,B,PC.2300.130
use.prev,[-],0,1,point,13,99,M,PC.2300.130
use.prev,[-],0.5,1,point,13,99,W,PC.2300.130
f.contact,[-],1,0,Point,0,99,B,PC.2300.130
house.prev,[-],0.5,1,point,0,99,B,PC.2300.130
f.residual,[-],1,0,point,0,99,B,PC.2300.140
volume,m^3,24,0,Point,0,99,B,PC.2300.140
f.drain,[-],1,0,Uniform,0,99,B,PC.2300.140
mass,g,2,1,Lognormal,0,99,B,PC.2300.140
use.freq,1/year,52,1,lognormal,0,99,B,PC.2300.140
duration,minutes,5,1,Lognormal,0,99,B,PC.2300.140
use.prev,[-],0,1,point,0,12,B,PC.2300.140
use.prev,[-],0,1,point,13,99,M,PC.2300.140
use.prev,[-],0.1,1,point,13,99,W,PC.2300.140
f.contact,[-],1,0,Point,0,99,B,PC.2300.140
house.prev,[-],0.1,1,point,0,99,B,PC.2300.140
f.residual,[-],1,0,point,0,99,B,PC.2300.150
volume,m^3,24,0,Point,0,99,B,PC.2300.150
f.drain,[-],1,0,Uniform,0,99,B,PC.2300.150
mass,g,0.5,1,Lognormal,0,99,B,PC.2300.150
use.freq,1/year,216,1,lognormal,0,99,B,PC.2300.150
duration,minutes,2,1,Lognormal,0,99,B,PC.2300.150
use.prev,[-],0,1,point,0,12,M,PC.2300.150
use.prev,[-],0.21,1,point,0,12,W,PC.2300.150
use.prev,[-],0,1,point,13,99,M,PC.2300.150
use.prev,[-],0.79,1,point,13,65,W,PC.2300.150
use.prev,[-],0.51,1,point,66,99,W,PC.2300.150
f.contact,[-],1,0,Point,0,99,B,PC.2300.150
house.prev,[-],0.79,1,point,0,99,B,PC.2300.150
f.residual,[-],0.01,0,point,0,99,B,PC.0900.050
volume,m^3,24,0,Point,0,99,B,PC.0900.050
f.drain,[-],1,0,Uniform,0,99,B,PC.0900.050
f.ingested,[-],1,0.3,Lognormal,0,99,B,PC.0900.050
mass,g,5,1,Lognormal,0,99,B,PC.0900.050
use.freq,1/year,114,1,lognormal,0,99,B,PC.0900.050
duration,minutes,1,1,Lognormal,0,99,B,PC.0900.050
use.prev,[-],0.02,1,point,0,12,B,PC.0900.050
use.prev,[-],0.4,1,point,13,99,M,PC.0900.050
use.prev,[-],0.4,1,point,13,99,W,PC.0900.050
f.contact,[-],1,0,Point,0,99,B,PC.0900.050
house.prev,[-],0.4,1,point,0,99,B,PC.0900.050
f.ingested,[-],0,0.3,Lognormal,0,99,B,PC.0900.050
mass,g,30,1,Lognormal,0,99,B,PC.0900.050
use.freq,1/year,197,1,lognormal,0,99,B,PC.0900.050
duration,minutes,0.5,1,Lognormal,0,99,B,PC.0900.050
use.prev,[-],0.2,1,point,0,12,B,PC.0900.050
use.prev,[-],0.5,1,point,13,99,M,PC.0900.050
use.prev,[-],0.5,1,point,13,99,W,PC.0900.050
house.prev,[-],0.5,1,point,0,99,B,PC.0900.050
f.residual,[-],0.2,0,point,0,99,B,PC.2400.010
volume,m^3,24,0,Point,0,99,B,PC.2400.010
f.drain,[-],1,0,Uniform,0,99,B,PC.2400.010
mass,g,2,1,Lognormal,0,99,B,PC.2400.010
use.freq,1/year,12,1,lognormal,0,99,B,PC.2400.010
duration,minutes,20,1,Lognormal,0,99,B,PC.2400.010
use.prev,[-],0,1,point,0,12,B,PC.2400.010
use.prev,[-],0.01,1,point,13,99,M,PC.2400.010
use.prev,[-],0.03,1,point,13,99,W,PC.2400.010
f.contact,[-],0.1,0,Point,0,99,B,PC.2400.010
house.prev,[-],0.03,1,point,0,99,B,PC.2400.010
f.residual,[-],0.01,0,point,0,99,B,PC.2400.020
volume,m^3,24,0,Point,0,99,B,PC.2400.020
f.drain,[-],1,0,Uniform,0,99,B,PC.2400.020
mass,g,0.5,1,Lognormal,0,99,B,PC.2400.020
use.freq,1/year,0,1,lognormal,0,99,M,PC.2400.020
use.freq,1/year,18,1,lognormal,0,12,B,PC.2400.020
use.freq,1/year,19,1,lognormal,13,99,B,PC.2400.020
duration,minutes,5,1,Lognormal,0,99,B,PC.2400.020
use.prev,[-],0,1,point,0,12,M,PC.2400.020
use.prev,[-],0.5,1,point,0,12,W,PC.2400.020
use.prev,[-],0.01,1,point,13,99,M,PC.2400.020
use.prev,[-],0.8,1,point,13,99,W,PC.2400.020
f.contact,[-],0.1,0,Point,0,99,B,PC.2400.020
house.prev,[-],0.8,1,point,0,99,B,PC.2400.020
